artist	iso3
18pm	USA
A Projection	SWE
ACTORS	CAN
AGTHA	
Agent Side Grinder	SWE
Amaur	
Amber Jay	GBR
Amiture	USA
АИГЕЛ AIGEL	RUS
Antipole;Paris Alexander	NOR
Ari Abdul	USA
Artemas	GBR
Ash Code	ITA
Automelodi	CAN
Balduvian Bears	USA
Balvanera	ARG
Barnacle Boi	USA
Black Marble	USA
Blind Delon	FRA
Blood Orchid	USA
Body of Light	USA
Box And The Twins	DEU
Boy Harsher	USA
Bragolin	NLD
Bragolin;Adam Tristar	NLD
Cabaret Nocturne	DEU
Caroline Rose	USA
Carrellee	USA
Cashforgold	USA
Casket Cassette	USA
Cathedral Bells	USA
Cemeteries	USA
Chelsea Wolfe	USA
Clan of Xymox	NLD
Closed Tear	USA
Cold Cave	USA
Cristoforo Donadi	USA
Crying Vessel	CHE
Crystal Castles	CAN
Cult Club;Zanias	DEU
DIGITAL REY	USA
Dance Divine	DEU
Dark	DEU
Darkø	GBR
Dead Husband	USA
Deep Down Wise	USA
Denuit	FRA
Denuit ft Emmon	
Deus Ex Lumina;Antipole	DEU
Dionnysuss	UZB
Dionnysuss;Sad Madona	UZB;FRA
Dlina Volny	BLR
Dream Affair	USA
Ductape	TUR
Echoberyl	FRA
Echoberyl;Gloria de Oliveira	FRA
Elley Duhé	USA
FM Attack	CAN
Fearing	USA
Foie Gras	USA
Forever Grey	USA
Fragrance	FRA
Fragrance;Lulannie	FRA
Fragrance;Maya Postepski	FRA;CAN
French Police	USA
GOLD ZEBRA	CAN
Galatée	RUS
Geometric Vision	ITA
Ghost Cop	USA
Girl As Wave	USA
Glaare	USA
Glaring	DEU
Glass Spells	USA
Gloria de Oliveira	FRA
Goo Munday	AUS
HUIR	ESP
Hallows	USA
Hante.	FRA
Hante.;Fragrance;Marble Slave	FRA
Harsh Symmetry	USA
Haunt Me	USA
Hendriek Bleik	ZAF
Hørd	FRA
IAMTHESHADOW	PRT
Indie Anthony	USA
Inhalt	USA
Iron Years	USA
John Maus	USA
Julia Bondar	ESP
KOMPROMAT;Vitalic;Rebeka Warrior	FRA
Kavinsky	FRA
Keep Shelly In Athens	GRC
Killing Joke	GBR
Kælan Mikla	ISL
LAUREL	GBR
LEATHERS	CAN
Labyrinth Ear	
Labyrinth Ear	GBR
Le Blonde	USA
Lebanon Hanover	DEU
Lecomte De Brégeot;Elle Valenci	FRA
Linea Aspera	GBR
Lllyric?	
Lone Assembly	CHE
Luna	RUS
Léonie Pernet	FRA
M!R!M	ITA
Madeline Goldstein	USA
