18pm	US
A Projection	SE
ACTORS	CA
AGTHA	
Agent Side Grinder	SE
Amaur	
Amber Jay	GB
Amiture	US
Antipole;Paris Alexander	NO
Ari Abdul	US
Artemas	GB
Ash Code	IT
Automelodi	CA
Balduvian Bears	US
Balvanera	AR
Black Marble	US
Blind Delon	FR
Blood Orchid	US
Body of Light	US
Box And The Twins	DE
Boy Harsher	US
Bragolin	NL
Bragolin;Adam Tristar	NL
Cabaret Nocturne	DE
Caroline Rose	US
Carrellee	US
Casket Cassette	US
Cathedral Bells	US
Cemeteries	US
Chelsea Wolfe	US
Clan of Xymox	NL
Closed Tear	US
Cold Cave	US
Cristoforo Donadi	US
Crying Vessel	CH
Crystal Castles	CA
Cult Club;Zanias	DE
DIGITAL REY	US
Dance Divine	DE
Dark	DE
Darkø	GB
Dead Husband	US
Deep Down Wise	US
Denuit	FR
Denuit ft Emmon	FR;SE
Deus Ex Lumina;Antipole	DE
Dionnysuss	UZ
Dionnysuss;Sad Madona	UZ;FR
Dlina Volny	BY
Dream Affair	US
Ductape	TR
Echoberyl	FR
Echoberyl;Gloria de Oliveira	FR
Elley Duhé	US
FM Attack	CA
Fearing	US
Foie Gras	US
Forever Grey	US
Fragrance	FR
Fragrance;Lulannie	FR
Fragrance;Maya Postepski	FR;CA
French Police	US
GOLD ZEBRA	CA
Galatée	RU
Geometric Vision	IT
Ghost Cop	US
Girl As Wave	US
Glaare	US
Glaring	DE
Glass Spells	US
Gloria de Oliveira	FR
Goo Munday	AU
HUIR	ES
Hallows	US
Hante.	FR
Hante.;Fragrance;Marble Slave	FR
Harsh Symmetry	US
Haunt Me	US
Hendriek Bleik	ZA
Hørd	FR
IAMTHESHADOW	PT
Indie Anthony	US
Inhalt	US
Iron Years	US
John Maus	US
Julia Bondar	ES
KOMPROMAT;Vitalic;Rebeka Warrior	FR
Kavinsky	FR
Keep Shelly In Athens	GR
Killing Joke	GB
Kælan Mikla	IS
LAUREL	GB
LEATHERS	CA
Labyrinth Ear	
Labyrinth Ear	GB
Le Blonde	US
Lebanon Hanover	DE
Lecomte De Brégeot;Elle Valenci	FR
Linea Aspera	GB
Lllyric?	
Lone Assembly	CH
Luna	RU
Léonie Pernet	FR
M!R!M	IT
Madeline Goldstein	US
Madeline Goldstein;Some Ember	US
Magic Wands	US
Magnified Desire	AU
Male Tears	US
Mannequin	RU
Mareux	US
Mareux;Dj Fn1	US
Mercy Girl	UK
Midi Memory	US
Minuit Machine	FR
MitroWave;leah julia	DK
Molchat Doma	BY
Molly Nilsson	XE
Motorama	RU
Mr.Kitty	US
My Manifesto	US
My Manifesto;Carrellee	US
NNHMN	DE
Neu-Romancer	DE
New Today	US
Night Haze	GR
Night in Athens	GB
Nightbus	UK
Nightcrawler feat. Celine	ES;FR
Nouvelle Phénomène	
Nuovo Testamento	US
Nürnberg	BY
Obsolet	DE
Opale	FR
Orion	US
Otha	NO
PERMSKY KRAY	RU
Paradox Obscur	GR
Pastel Ghost	US
Pearly Drops	FI
Perverse State	DE
Phantogram	US
Pixel Grip	US
Potochkine	FR
Prince Innocence	CA
Psyche	CA
Pulp	GB
Pulsations	DK
R. Missing	US
R. Missing;Johan Agebjörn	US;SE
R. Missing;Levingtquatre	US;NL	
Rare DM	US
Rendez Vous	FR
Riki	US
Rude 66	NL
Rue Oberkampf	DE
Rupert Falsch	DE
Rusty Egan;Boy George	GB
Röyksopp	NO
S Y Z Y G Y X	US
SCRATCH MASSIVE x JEANNE ADDED	FR
SDH (Semiotics Department of Heteronyms)	ES
SINE	DE
SINE;AwareNess	US
SOFT VEIN	US
SPELLSWØRD	US
Sad Madona	FR
Sad Madona;Mega Sega Drive Club	FR
Sally Dige	DE
Scarlett Scarlett;Velvet Lion	GB
Scratch Massive	FR
Second Still	US
Sexual Purity	US
Shad Shadows	IT
She Past Away	TR
Shortwire	HR
Sidewalks and Skeletons	GB
Sidewalks and Skeletons;CASHFORGOLD	GB
Sidewalks and Skeletons;Goo Munday	GB;AU
Silent Runners	NL
Silverbullit	SE
Sinnerella	US
Sixth June	RS
Skeleton Hands	US
Slove ft Sarah Rebecca	FR
Soft Kill	US
Ssleeping Desiress	US
Still Corners	GB
Sydney Valette	FR
TR/ST	CA
TRAITRS	CA
TWIN ION ENGINE	US
Tame Impala	AU
Tempers	US
Terror Forms	
Terror Forms	US
The Agnes Circle	GB
The KVB	GB
The Masqs	US
The Masqs;Sad Madona	FR
The Neighbourhood	US
The Spoiled	IT
The Toxic Avenger	FR
The Weeknd	CA
The frozen Autumn	IT
Them Are Us Too	US
This Cold Night	US
Tone Ranger;Evelyn Drach	US
Trevor Something	US
Trit95	US
Turbo Knight;Edictum	FI;AT
Twin Tribes	US
Tying Tiffany	IT
ULTRA SUNN	BE
VH X RR	US
VNV Nation	DE
VOITH	SE
Vandal Moon	US
Velvet Condom	DE
Vestron Vulture	MX
Vick Vapors	US
Vick Vapors;Fevr	US
Vioflesh	CL
Vioflesh;Flesh	
Vogue.Noir	GB
Vogue.Noir;DRIFT.	GB
Void Vision	US
WYDROB;gothcandy	US
Waveshaper	SE
Whispering Sons	BE
Wild Nothing	US
Winter Severity Index	IT
Wisteria	US
Youryoungbody	US
Zanias	DE
Zanias;Serpentskin	DE
akiaura	RU
akiaura	RU;US
framed	AU
glwzbll	RU
hazy waters	GB
ionnalee	SE
juhvahn;Perpetualll	CA
keelse	BY
mary in the junkyard	GB
moonvampire	KZ
moonvampire;Staarz	KZ
niteboi	UK
noturgf	US
plenka	RU
soft siren	US
topographies	US
xójira	US
xójira;pluto's ashtray	US
МИРТЛ	BY
